scenario_id,v0_kmh,v0_mps,ttc_s,hazard_distance_m,mu,branch,policy,authority_assumption,why_speed,why_ttc,why_mu
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc3.0,100,27.7778,3.0,83.33,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,D003 motorway speed limit (S17),intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc5.0,100,27.7778,5.0,138.89,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,D003 motorway speed limit (S17),intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc7.0,100,27.7778,7.0,194.44,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,D003 motorway speed limit (S17),D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P0|AUTH_UNCERTAIN_ttc10.0,100,27.7778,10.0,277.78,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,D003 motorway speed limit (S17),long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P1_ttc2.0,100,27.7778,2.0,55.56,0.5,P1,P1,IRRELEVANT,D003 motorway speed limit (S17),short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P1_ttc3.0,100,27.7778,3.0,83.33,0.5,P1,P1,IRRELEVANT,D003 motorway speed limit (S17),intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P1_ttc5.0,100,27.7778,5.0,138.89,0.5,P1,P1,IRRELEVANT,D003 motorway speed limit (S17),intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P1_ttc7.0,100,27.7778,7.0,194.44,0.5,P1,P1,IRRELEVANT,D003 motorway speed limit (S17),D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P1_ttc10.0,100,27.7778,10.0,277.78,0.5,P1,P1,IRRELEVANT,D003 motorway speed limit (S17),long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc2.0,100,27.7778,2.0,55.56,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,D003 motorway speed limit (S17),short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc3.0,100,27.7778,3.0,83.33,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,D003 motorway speed limit (S17),intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc5.0,100,27.7778,5.0,138.89,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,D003 motorway speed limit (S17),intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc7.0,100,27.7778,7.0,194.44,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,D003 motorway speed limit (S17),D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc10.0,100,27.7778,10.0,277.78,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,D003 motorway speed limit (S17),long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc2.0,100,27.7778,2.0,55.56,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,D003 motorway speed limit (S17),short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc3.0,100,27.7778,3.0,83.33,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,D003 motorway speed limit (S17),intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc5.0,100,27.7778,5.0,138.89,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,D003 motorway speed limit (S17),intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc7.0,100,27.7778,7.0,194.44,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,D003 motorway speed limit (S17),D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v100_mu0.5_P2|AUTH_UNCERTAIN_ttc10.0,100,27.7778,10.0,277.78,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,D003 motorway speed limit (S17),long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc2.0,130,36.1111,2.0,72.22,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc3.0,130,36.1111,3.0,108.33,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc5.0,130,36.1111,5.0,180.56,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc7.0,130,36.1111,7.0,252.78,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_AT_EFFECTIVE_ttc10.0,130,36.1111,10.0,361.11,1.0,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_UNCERTAIN_ttc2.0,130,36.1111,2.0,72.22,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_UNCERTAIN_ttc3.0,130,36.1111,3.0,108.33,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_UNCERTAIN_ttc5.0,130,36.1111,5.0,180.56,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_UNCERTAIN_ttc7.0,130,36.1111,7.0,252.78,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P0|AUTH_UNCERTAIN_ttc10.0,130,36.1111,10.0,361.11,1.0,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P1_ttc2.0,130,36.1111,2.0,72.22,1.0,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P1_ttc3.0,130,36.1111,3.0,108.33,1.0,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P1_ttc5.0,130,36.1111,5.0,180.56,1.0,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P1_ttc7.0,130,36.1111,7.0,252.78,1.0,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P1_ttc10.0,130,36.1111,10.0,361.11,1.0,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc2.0,130,36.1111,2.0,72.22,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc3.0,130,36.1111,3.0,108.33,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc5.0,130,36.1111,5.0,180.56,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc7.0,130,36.1111,7.0,252.78,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_AT_EFFECTIVE_ttc10.0,130,36.1111,10.0,361.11,1.0,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_UNCERTAIN_ttc2.0,130,36.1111,2.0,72.22,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_UNCERTAIN_ttc3.0,130,36.1111,3.0,108.33,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_UNCERTAIN_ttc5.0,130,36.1111,5.0,180.56,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_UNCERTAIN_ttc7.0,130,36.1111,7.0,252.78,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu1.0_P2|AUTH_UNCERTAIN_ttc10.0,130,36.1111,10.0,361.11,1.0,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,reference road friction used by the UN R157 Annex 3 benchmark (S02); non-binding for a_max <= 9.81
v130_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc2.0,130,36.1111,2.0,72.22,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc3.0,130,36.1111,3.0,108.33,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc5.0,130,36.1111,5.0,180.56,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc7.0,130,36.1111,7.0,252.78,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_AT_EFFECTIVE_ttc10.0,130,36.1111,10.0,361.11,0.5,P0|AUTH_AT_EFFECTIVE,P0,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_UNCERTAIN_ttc2.0,130,36.1111,2.0,72.22,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_UNCERTAIN_ttc3.0,130,36.1111,3.0,108.33,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_UNCERTAIN_ttc5.0,130,36.1111,5.0,180.56,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_UNCERTAIN_ttc7.0,130,36.1111,7.0,252.78,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P0|AUTH_UNCERTAIN_ttc10.0,130,36.1111,10.0,361.11,0.5,P0|AUTH_UNCERTAIN,P0,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P1_ttc2.0,130,36.1111,2.0,72.22,0.5,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P1_ttc3.0,130,36.1111,3.0,108.33,0.5,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P1_ttc5.0,130,36.1111,5.0,180.56,0.5,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P1_ttc7.0,130,36.1111,7.0,252.78,0.5,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P1_ttc10.0,130,36.1111,10.0,361.11,0.5,P1,P1,IRRELEVANT,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc2.0,130,36.1111,2.0,72.22,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc3.0,130,36.1111,3.0,108.33,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc5.0,130,36.1111,5.0,180.56,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc7.0,130,36.1111,7.0,252.78,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_AT_EFFECTIVE_ttc10.0,130,36.1111,10.0,361.11,0.5,P2|AUTH_AT_EFFECTIVE,P2,AT_EFFECTIVE,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_UNCERTAIN_ttc2.0,130,36.1111,2.0,72.22,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",short budget; UN R157 Annex 3 uses TTC 2 s as its longitudinal danger threshold (S02),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_UNCERTAIN_ttc3.0,130,36.1111,3.0,108.33,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate short budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_UNCERTAIN_ttc5.0,130,36.1111,5.0,180.56,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",intermediate budget (grid fill),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_UNCERTAIN_ttc7.0,130,36.1111,7.0,252.78,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",D003 protocol TOR at TTC 7 s (S17),"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
v130_mu0.5_P2|AUTH_UNCERTAIN_ttc10.0,130,36.1111,10.0,361.11,0.5,P2|AUTH_UNCERTAIN,P2,UNCERTAIN,"UN R157 Rev.1 maximum ALKS speed, S02 §5.2.3.1",long budget (grid fill); not a regulatory TTC,"reduced-friction scenario value (assumption, not a wet-road measurement); binding: mu*g = 4.905 m/s2"
